Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,5000,5000,4975, 36 months,10.65%,162.87,B,B2,,10+ years,RENT,24000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,Jan-85,1,,,3,0,13648,83.70%,9,f,0,0,5863.155187,5833.84,5000,863.16,0,0,0,Jan-15,171.62,,Sep-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2500,2500,2500, 60 months,15.27%,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,Apr-99,5,,,3,0,1687,9.40%,4,f,0,0,1014.53,1014.53,456.46,435.17,0,122.9,1.11,Apr-13,119.66,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2400,2400,2400, 36 months,15.96%,84.33,C,C5,,10+ years,RENT,12252,Not Verified,Dec-11,Fully Paid,n,,,small_business,real estate business,606xx,IL,8.72,0,Nov-01,2,,,2,0,2956,98.50%,10,f,0,0,3005.666844,3005.67,2400,605.67,0,0,0,Jun-14,649.91,,Jun-17,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,13.49%,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,917xx,CA,20,0,Feb-96,1,35,,10,0,5598,21%,37,f,0,0,12231.89,12231.89,10000,2214.92,16.97,0,0,Jan-15,357.48,,Apr-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 60 months,12.69%,67.79,B,B5,University Medical Group,1 year,RENT,80000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/21/11 > I plan on combining three large interest bills together and freeing up some extra each month to pay toward other bills.  I've always been a good payor but have found myself needing to make adjustments to my budget due to a medical scare. My job is very stable, I love it.<br>",other,Personal,972xx,OR,17.94,0,Jan-96,0,38,,15,0,27783,53.90%,38,f,0,0,4066.908161,4066.91,3000,1066.91,0,0,0,Jan-17,67.3,,Apr-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,7.90%,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,Dec-11,Fully Paid,n,,,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,Nov-04,3,,,9,0,7963,28.30%,12,f,0,0,5632.21,5632.21,5000,632.21,0,0,0,Jan-15,161.03,,Feb-17,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,7000,7000,7000, 60 months,15.96%,170.08,C,C5,Southern Star Photography,8 years,RENT,47004,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/18/11 > I am planning on using the funds to pay off two retail credit cards with 24.99% interest rates, as well as a major bank credit card with a 18.99% rate.  I pay all my bills on time, looking for a lower combined payment and lower monthly payment.<br>",debt_consolidation,Loan,280xx,NC,23.51,0,Jul-05,1,,,7,0,17726,85.60%,11,f,0,0,10137.84001,10137.84,7000,3137.84,0,0,0,May-16,1313.76,,Sep-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 36 months,18.64%,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,Jan-07,2,,,4,0,8221,87.50%,4,f,0,0,3939.135294,3939.14,3000,939.14,0,0,0,Jan-15,111.34,,Dec-14,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5600,5600,5600, 60 months,21.28%,152.39,F,F2,,4 years,OWN,40000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,Apr-04,2,,,11,0,5210,32.60%,13,f,0,0,647.5,647.5,162.02,294.94,0,190.54,2.09,Apr-12,152.39,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5375,5375,5350, 60 months,12.69%,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,Dec-11,Charged Off,n,,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,Sep-04,0,,,2,0,9279,36.50%,3,f,0,0,1484.59,1477.7,673.48,533.42,0,277.69,2.52,Nov-12,121.45,,Dec-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6500,6500,6500, 60 months,14.65%,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,Jan-98,2,,,14,0,4032,20.60%,23,f,0,0,7678.017673,7678.02,6500,1178.02,0,0,0,Jun-13,1655.54,,Mar-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,12.69%,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Consolidation,913xx,CA,10.78,0,Oct-89,0,,,12,0,23336,67.10%,34,f,0,0,13947.98916,13947.99,12000,1947.99,0,0,0,Sep-13,6315.3,,Aug-13,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9000,9000,9000, 36 months,13.49%,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000,Source Verified,Dec-11,Charged Off,n,,  Borrower added on 12/15/11 > Plan to pay off 2 charge accounts. I will close one of them and ask for a credit line decrease from the other. Also borrowed money from a friend and would like to pay that off.......<br><br>  Borrower added on 12/17/11 > The credit card that I am asking to be decreased will be ONLY for emergency purposes.....<br>,debt_consolidation,freedom,245xx,VA,10.08,0,Apr-04,1,,,4,0,10452,91.70%,9,f,0,0,2277.32,2277.32,1256.14,570.26,0,450.92,4.16,Jul-12,305.38,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3000,3000,3000, 36 months,9.91%,96.68,B,B1,Target,3 years,RENT,15000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/19/11 > I intend to pay this debt off within half the time allotted.Home-brewer investing in equipment, hopefully someday a brewpub owner with delicious beers to sell and locally grown produced meat and vegetables.So, this is my start, and thank you for lending! One day I will repay the favor and lend back<br>",credit_card,citicard fund,606xx,IL,12.56,0,Jul-03,2,,,11,0,7323,43.10%,11,f,0,0,3480.269999,3480.27,3000,480.27,0,0,0,Jan-15,102.43,,Apr-17,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,10.65%,325.74,B,B2,SFMTA,3 years,RENT,100000,Source Verified,Dec-11,Charged Off,n,,,other,Other Loan,951xx,CA,7.06,0,May-91,2,,,14,0,11997,55.50%,29,f,0,0,7471.99,7471.99,5433.47,1393.42,0,645.1,6.3145,Oct-13,325.74,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,1000,1000,1000, 36 months,16.29%,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation Loan,641xx,MO,20.31,0,Sep-07,1,,,11,0,6524,81.50%,23,f,0,0,1270.716942,1270.72,1000,270.72,0,0,0,Jan-15,36.32,,Sep-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,15.27%,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000,Not Verified,Dec-11,Fully Paid,n,,,home_improvement,Home,921xx,CA,18.6,0,Oct-98,2,61,,14,0,24043,70.20%,28,f,0,0,12527.15,12527.15,10000,2527.15,0,0,0,Jan-15,370.46,,Sep-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3600,3600,3600, 36 months,6.03%,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000,Not Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > Payoff other lending club acct and pull out money for purchase<br><br> Borrower added on 12/15/11 > payoff current lending club account and take money for purchase<br>,major_purchase,Holiday,067xx,CT,10.52,0,Aug-93,0,,,20,0,22836,16%,42,f,0,0,3785.271965,3785.27,3600,185.27,0,0,0,May-13,583.45,,May-14,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000,Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/16/11 > This is a loan i am really looking forward to it will help me and my whole family.  thank you<br><br> Borrower added on 12/18/11 > This loan is for a medical procedure I've been waiting 3 years for hope to get it!! Thanks.<br>,medical,Medical,890xx,UT,18.44,2,Oct-03,0,8,,4,0,0,37.73%,14,f,0,0,7167.072893,7167.07,6000,1152.07,15.00000003,0,0,Feb-15,16.98,,Jul-15,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,9200,9200,9200, 36 months,6.03%,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,921xx,CA,9.86,0,Jan-01,0,,,8,0,7314,23.10%,28,f,0,0,9460.000848,9460,9200,260,0,0,0,Jul-12,8061.1,,Feb-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20250,20250,19142.16108, 60 months,15.27%,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370,Verified,Dec-11,Fully Paid,n,,"After amassing credit card debt through several years of college, I now have spending under control and a stable job. With this loan I plan to pay off all the credit cards and close them down immediately. I have a good balance between living expenses and debt repayment.<br> Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.  Please let me know if you have any other questions.<br> Borrower added on 12/15/11 > Over several years in college I amassed a large debt in credit cards.  Now that I have a stable job and spending under control I will use this loan to consolidate credit card debt and to close them immediately.  I never miss payments and I follow a strict monthly budget of $1,350 in living expenses and a $339 car note.  I have enough in savings to cover 6 months of all expenses, including this loan payment.  Absolutely every other dollar is dedicated to debt repayment.<br><br>Please let me know if you have any other questions.<br><br> Borrower added on 12/16/11 > After amassing credit card debt from years in college I have put spending under control. With my stable job, I hope to use this loan to pay off all the credit cards and close them down immediately. My monthly income is balanced between living expenses and loan repayment.  Thank you!<br><br> Borrower added on 12/16/11 > After amassing credit card debt through several years of college, I now have spending under control and a stable job.  With this loan I plan to pay off all the credit cards and close them down immediately.  I have a good balance between living expenses and debt repayment.<br>",debt_consolidation,Freedom From Credit Cards,770xx,TX,26.53,0,Nov-97,3,,,8,0,17813,85.60%,22,f,0,0,27679.05,25433.6,20250,7429.05,0,0,0,Aug-15,6024.09,,Jun-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,21000,21000,21000, 36 months,12.42%,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000,Verified,Dec-11,Charged Off,n,,  Borrower added on 12/16/11 > Decided to clean up the debt and get my finances together.  Thank you for your consideration.<br>,debt_consolidation,Debt Cleanup,335xx,FL,13.22,0,Feb-83,0,,,7,0,32135,90.30%,38,f,0,0,14034.6,14034.6,10694.96,3330.44,0,9.2,0,Sep-13,701.73,,Feb-17,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Value Air,10+ years,OWN,50000,Source Verified,Dec-11,Fully Paid,n,,"  Borrower added on 12/17/11 > Have a stable job, will be absolutely no problem making monthly payments.  Loan will be used to close high interest credit card accounts on which I've never had a late payment.<br>",credit_card,Credit Card Loan,799xx,TX,11.18,0,Jul-85,0,,,8,0,10056,82.40%,21,f,0,0,11907.35,11907.35,10000,1907.35,0,0,0,Jan-15,349.21,,Jan-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,10000,10000,10000, 36 months,11.71%,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation,917xx,CA,16.01,0,Apr-03,0,,,6,0,17800,91.80%,17,f,0,0,11540.89198,11540.89,10000,1540.89,0,0,0,Oct-13,4942.63,,Mar-14,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,6000,6000,6000, 36 months,11.71%,198.46,B,B3,bmg-educational,1 year,RENT,76000,Not Verified,Dec-11,Charged Off,n,,,major_purchase,cash,900xx,CA,2.4,0,Jun-01,1,,,7,0,5963,29.70%,7,f,0,0,2055.85,2055.85,1305.58,475.25,0,275.02,2.57,Oct-12,198.46,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,15000, 36 months,9.91%,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000,Verified,Dec-11,Fully Paid,n,,,credit_card,No more credit card debt!,605xx,IL,29.44,0,Feb-02,0,,,8,0,13707,93.90%,31,f,0,0,15823.99905,15824,15000,824,0,0,0,Sep-12,2447.05,,Sep-12,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,15000,15000,8725, 36 months,14.27%,514.64,C,C2,nyc transit,9 years,RENT,60000,Not Verified,Dec-11,Charged Off,n,,  Borrower added on 12/15/11 > looking to consolidate into just one monthly payment<br>,debt_consolidation,consolidation,103xx,NY,15.22,0,Oct-03,1,,,7,0,5872,57.60%,11,f,0,0,0,0,0,0,0,0,0,,0,,Sep-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 60 months,16.77%,123.65,D,D2,Frito Lay,2 years,RENT,50004,Not Verified,Dec-11,Charged Off,n,,  Borrower added on 12/16/11 > I have a stable job where I will never get laid off.<br><br> Borrower added on 12/16/11 > I need the loan to pay for some recent medical expenses and I need to get my car fixed.<br>,other,Other,150xx,PA,13.97,3,Oct-03,0,20,,14,0,4345,59.50%,22,f,0,0,1611.16,1611.16,629.05,719.11,0,263,2.3,Dec-12,123.65,,Oct-16,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4000,4000,4000, 36 months,11.71%,132.31,B,B3,Shands Hospital at the University of Fl,10+ years,MORTGAGE,106000,Not Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Debt Consolidation,326xx,FL,5.63,1,Aug-84,0,18,,12,0,6110,37.70%,44,f,0,0,4486.293519,4486.29,4000,486.29,0,0,0,Apr-13,2638.77,,Sep-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8500,8500,8500, 36 months,11.71%,281.15,B,B3,Oakridge homes,< 1 year,RENT,25000,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/15/11 > My loan is for paying off my credit cards and being able to get a place to live since I live with my uncle at the moment and he needs me to leave. <br><br>  Borrower added on 12/17/11 > Im responsible and i pay my bills on time if not early. i have a great payment history. having this loan would really help me out. thank you<br>,credit_card,Credit card repayment loan,564xx,MN,12.19,0,Nov-06,0,,,8,0,6441,59.10%,12,f,0,0,10126.08844,10126.09,8500,1626.09,0,0,0,Dec-14,581.59,,Jan-15,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,4375,4375,4375, 36 months,7.51%,136.11,A,A3,,7 years,MORTGAGE,17108,Source Verified,Dec-11,Fully Paid,n,,  Borrower added on 12/17/11 > This loan is a great opportunity and will help me gain better control over my finances. The convenience of one payment and one rate will help me save money and create better opportunities for myself for future planning. My career and income are secure and I believe in financial responsibility.<br>,debt_consolidation,Debt Consolidation,141xx,NY,20.34,0,Dec-87,0,,,6,0,11210,86.90%,12,f,0,0,4899.96,4899.96,4375,524.96,0,0,0,Jan-15,144.94,,Mar-18,0,,1,Individual,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
